Time,WindSpeed(m/s),WindDirection(°)
08:38:34,0.8,274.3
08:38:35,0.8,274.3
08:38:37,0.8,274.3
08:38:38,0.7,274.3
08:38:39,0.7,274.3
08:38:40,0.7,274.3
08:38:41,0.8,274.3
08:38:42,0.8,274.3
08:38:43,0.9,274.3
08:38:44,0.8,274.3
08:38:45,0.8,274.3
08:38:47,0.8,274.3
08:38:48,0.7,274.3
08:38:49,0.7,274.3
08:38:50,0.7,274.3
08:38:51,0.7,274.3
08:38:52,0.7,274.3
08:38:53,0.7,274.3
08:38:54,0.7,274.3
08:38:55,0.6,274.3
08:38:56,0.6,274.3
08:38:58,0.6,284.2
08:38:59,0.7,311.9
08:39:00,0.8,315.4
08:39:01,0.9,337.0
08:39:02,1.0,332.0
08:39:03,1.0,312.0
08:39:04,0.9,306.1
08:39:05,0.9,294.8
08:39:06,0.9,294.1
08:39:07,0.9,292.6
08:39:09,0.9,292.6
08:39:10,1.0,292.6
08:39:11,1.0,292.6
08:39:12,1.0,295.8
08:39:13,1.1,295.8
08:39:14,1.1,295.8
08:39:15,1.0,295.9
08:39:16,1.0,304.8
08:39:17,1.0,304.7
08:39:19,1.0,302.0
08:39:20,1.0,301.3
08:39:21,1.0,301.3
08:39:22,1.0,301.3
08:39:23,1.0,301.3
08:39:24,0.9,301.3
08:39:25,0.8,301.3
08:39:26,0.8,301.3
08:39:27,0.8,301.3
08:39:29,0.7,301.3
08:39:30,0.7,301.3
08:39:31,0.7,301.3
08:39:32,0.7,301.3
08:39:33,0.7,301.3
08:39:34,0.7,301.3
08:39:35,0.7,301.4
08:39:36,0.8,305.6
08:39:37,0.8,305.7
08:39:38,0.8,314.4
08:39:40,1.0,335.9
08:39:41,1.0,347.2
08:39:42,1.0,325.1
08:39:43,1.0,315.2
08:39:44,1.1,314.7
08:39:45,1.3,317.4
08:39:46,1.3,336.4
08:39:47,1.2,318.6
08:39:48,1.1,319.0
08:39:49,1.1,312.9
08:39:51,1.0,310.2
08:39:52,1.0,310.3
08:39:53,1.0,310.4
08:39:54,1.0,310.5
08:39:55,1.0,311.5
08:39:56,1.1,340.0
08:39:57,1.2,320.3
08:39:58,1.3,329.6
08:39:59,1.3,323.0
08:40:01,1.2,315.1
08:40:02,1.2,325.9
08:40:03,1.2,333.5
08:40:04,1.2,322.4
08:40:05,1.2,315.2
08:40:06,1.2,326.2
08:40:07,1.1,305.9
08:40:08,1.1,308.8
08:40:09,1.1,309.0
08:40:11,1.0,309.1
08:40:12,0.9,309.1
08:40:13,0.9,305.0
08:40:14,0.9,302.8
08:40:15,0.9,302.1
08:40:16,0.8,302.1
08:40:17,0.8,302.1
08:40:18,0.7,302.1
08:40:19,0.7,301.9
08:40:20,0.7,300.5
08:40:22,0.6,285.7
08:40:23,0.6,276.6
08:40:24,0.6,276.6
08:40:25,0.5,276.6
08:40:26,0.5,276.6
08:40:27,0.5,276.6
08:40:28,0.5,276.7
08:40:29,0.6,281.7
08:40:30,0.9,281.7
08:40:31,1.1,281.7
08:40:33,1.1,281.7
08:40:34,1.1,281.7
08:40:35,1.1,281.7
08:40:36,1.0,281.9
08:40:37,1.1,305.0
08:40:38,1.1,324.8
08:40:39,1.1,306.0
08:40:40,1.1,301.7
08:40:41,1.1,293.1
08:40:43,1.1,293.1
08:40:44,1.1,293.1
08:40:45,1.0,293.1
08:40:46,1.0,293.1
08:40:47,1.0,293.1
08:40:48,0.9,293.1
08:40:49,0.8,293.1
08:40:50,0.7,293.1
08:40:51,0.7,293.1
08:40:53,0.7,293.1
08:40:54,0.7,293.1
08:40:55,0.6,293.1
08:40:56,0.6,293.1
08:40:57,0.6,293.1
08:40:58,0.6,293.1
08:40:59,0.6,293.1
08:41:00,0.6,293.1
08:41:01,0.6,293.1
08:41:03,0.7,293.1
08:41:04,0.7,293.1
08:41:05,0.9,293.1
08:41:06,0.9,293.0
08:41:07,0.9,292.6
08:41:08,0.9,292.6
08:41:09,0.9,292.6
08:41:10,0.9,292.6
08:41:11,0.9,292.6
08:41:12,0.9,292.6
08:41:14,0.9,293.7
08:41:15,0.9,324.9
08:41:16,0.8,345.4
08:41:17,0.8,307.8
08:41:18,0.8,294.5
08:41:19,0.9,329.1
08:41:20,1.0,314.3
08:41:21,1.1,319.7
08:41:22,1.2,316.5
08:41:23,1.2,286.8
08:41:25,1.2,286.8
08:41:26,1.1,286.8
08:41:27,1.0,286.8
08:41:28,0.9,286.8
08:41:29,0.9,286.8
08:41:30,0.8,286.8
08:41:31,0.8,286.8
08:41:32,0.7,286.8
08:41:34,0.7,230.3
08:41:35,0.8,217.9
08:41:36,0.8,236.2
08:41:37,0.8,244.5
08:41:38,0.7,278.6
08:41:39,0.8,284.9
08:41:40,0.9,307.8
08:41:41,1.0,321.0
08:41:42,1.1,296.6
08:41:43,1.1,294.4
08:41:45,1.1,293.7
08:41:46,1.1,291.7
08:41:47,1.0,291.6
08:41:48,1.0,291.6
08:41:49,0.9,291.6
08:41:50,0.9,291.6
08:41:51,0.8,291.7
08:41:52,0.9,291.7
08:41:53,1.0,291.7
08:41:55,1.0,292.4
08:41:56,1.1,294.1
08:41:57,1.1,294.6
08:41:58,1.1,294.6
08:41:59,1.0,279.1
08:42:00,0.9,276.4
08:42:01,0.9,276.4
08:42:02,0.9,276.4
08:42:03,0.9,276.4
08:42:05,0.9,276.4
08:42:06,1.0,287.8
08:42:07,1.1,331.0
08:42:08,1.4,310.1
08:42:09,1.4,315.0
08:42:10,1.3,328.7
08:42:11,1.2,342.7
08:42:12,1.2,313.0
08:42:13,1.2,319.6
08:42:14,1.3,298.5
08:42:16,1.4,304.8
08:42:17,1.3,299.5
08:42:18,1.3,299.5
08:42:19,1.2,297.8
08:42:20,1.1,297.8
08:42:21,1.1,297.8
08:42:22,1.0,297.8
08:42:23,1.0,297.8
08:42:24,0.9,303.5
08:42:26,1.0,328.0
08:42:27,0.9,359.5
08:42:28,1.0,328.7
08:42:29,1.1,328.0
08:42:30,1.1,318.2
08:42:31,1.1,303.5
08:42:32,1.1,303.9
08:42:33,1.2,330.0
08:42:34,1.2,323.9
08:42:35,1.2,308.2
08:42:37,1.2,294.3
08:42:38,1.1,294.5
08:42:39,1.1,307.2
08:42:40,1.1,350.7
08:42:41,1.1,22.3
08:42:42,1.1,3.5
08:42:43,1.1,323.5
08:42:44,1.1,337.2
08:42:45,1.2,310.1
08:42:47,1.4,321.3
08:42:48,1.6,309.3
08:42:49,1.6,316.9
08:42:50,1.5,304.8
08:42:51,1.4,304.8
08:42:52,1.3,304.8
08:42:53,1.2,304.8
08:42:54,1.1,310.6
08:42:55,1.1,36.3
08:42:57,1.0,347.4
08:42:58,1.1,291.2
08:42:59,1.2,290.2
08:43:00,1.3,288.7
